BRANCH,FAMILY,SUB FAMILY,BEER NAME,BREWERY,ABV,IBU,REGION
ALE,STRONG ALE,ENGLISH BARLEYWINE,Irish Walker,Olde Hickory,10.14%,60,North Carolina
ALE,STRONG ALE,AMERICAN BARLEYWINE,Hog Heaven Barley Wine,Avery,9.20%,100,Colorado
ALE,STRONG ALE,AMERICAN BARLEYWINE,Third Coast Old Ale,Bell's,10.20%,80,Michigan
ALE,STRONG ALE,AMERICAN BARLEYWINE,Bigfoot Barleywine,Sierra Nevada,9.60%,90,California
ALE,GERMAN ALE,RAUCHBIER,Scarlet Fire,Victory,6.10%,25,Pennsylvania
ALE,GERMAN ALE,RAUCHBIER,Aecht Schlenkerla Rauchbier Maerzen,Heller-Trum / Schlenkerla,5.40%,30,Germany
ALE,GERMAN ALE,RAUCHBIER,Smoke & Dagger,Jack's Abby,5.80%,25,Massachusetts
ALE,BELGIAN STRONG ALE,BELGIAN QUADRUPEL,Trappistes Rochefort 10,Rochefort,11.30%,27,Belgium
ALE,BELGIAN STRONG ALE,BELGIAN QUADRUPEL,Three Philosophers,Ommegang,9.70%,19,New York
ALE,BELGIAN STRONG ALE,BELGIAN QUADRUPEL,St. Bernardus Abt 12,St. Bernardus,10%,23,Belgium
ALE,STRONG ALE,WHEATWINE,Old Sol,Big Time,10%,22,Washington
ALE,STRONG ALE,WHEATWINE,White Oak,The Bruery,11.50%,20,California
ALE,STRONG ALE,WHEATWINE,Misery,DuClaw,10%,65,Maryland
