BRANCH,FAMILY,SUB FAMILY,BEER NAME,BREWERY,ABV,IBU,REGION
ALE,PALE ALE,ENGLISH PALE ALE,Mid Mountain Mild Ale,Epic,5%,12,Utah
ALE,PALE ALE,ENGLISH PALE ALE,Tallgrass Pub Ale,Tallgrass,4.40%,20,Kansas
ALE,PALE ALE,ENGLISH PALE ALE,Let There Be Light,Wild Heaven,4.70%,10,Georgia
ALE,ENGLISH PALE ALE,STANDARD/ORDINARY BITTER,Powder Monkey,Heavy Seas,4.80%,28,Maryland
ALE,ENGLISH PALE ALE,STANDARD/ORDINARY BITTER,Pale Ale,Schlafly,4.40%,25,Missouri
ALE,ENGLISH PALE ALE,STANDARD/ORDINARY BITTER,London Pride,Fuller Smith & Turner,4.70%,33,England
ALE,ENGLISH PALE ALE,SPECIAL/BEST/PREMIUM BITTER,Sawtooth Ale,Left Hand,5.30%,27,Colorado
ALE,ENGLISH PALE ALE,SPECIAL/BEST/PREMIUM BITTER,Beast Bitter,Middle Ages,5.30%,50,New York
ALE,ENGLISH PALE ALE,SPECIAL/BEST/PREMIUM BITTER,Young's Special London Ale,Wells & Young's,6.40%,32,England
ALE,SCOTTISH/IRISH ALE,SCOTTISH/IRISH ALE,Merlin's Ale,Broughton,4.20%,35,Scotland
ALE,SCOTTISH/IRISH ALE,SCOTTISH/IRISH ALE,Brian Boru,Three Floyds,5.50%,40,Indiana
ALE,SCOTTISH/IRISH ALE,SCOTTISH/IRISH ALE,Dirty Bastard,Founders,8.50%,50,Michigan
ALE,SCOTTISH/IRISH ALE,SCOTTISH EXPORT,Arran Dark,Isle of Arran,4.30%,27,Scotland
ALE,SCOTTISH/IRISH ALE,SCOTTISH EXPORT,Merlin's Ale,Broughton,4.20%,35,Scotland
ALE,SCOTTISH/IRISH ALE,SCOTTISH EXPORT,Dark Island,Orkney,4.60%,50,Scotland
ALE,SCOTTISH/IRISH ALE,IRISH RED ALE,River Falls,Thomas Creek,5.65%,21,South Carolina
ALE,SCOTTISH/IRISH ALE,IRISH RED ALE,Brian Boru,Three Floyds,5.50%,40,Indiana
ALE,SCOTTISH/IRISH ALE,IRISH RED ALE,Riptide,Casco Bay,5.40%,23,Maine
ALE,SCOTTISH/IRISH ALE,STRONG SCOTCH ALE/WEE HEAVY,Dirty Bastard,Founders,8.50%,50,Michigan
ALE,SCOTTISH/IRISH ALE,STRONG SCOTCH ALE/WEE HEAVY,Scotty Karate,Dark Horse,9.75%,24,Michigan
ALE,SCOTTISH/IRISH ALE,STRONG SCOTCH ALE/WEE HEAVY,Skull Splitter,Orkney,8.50%,21,Scotland
ALE,PALE ALE,AMERICAN PALE ALE,MO,Maine Beer Company,6%,43,Maine
ALE,PALE ALE,AMERICAN PALE ALE,Mirror Pond Pale Ale,Deschutes,5%,40,Oregon
ALE,PALE ALE,AMERICAN PALE ALE,420,Sweetwater,5.40%,50,Georgia
